#{"t_start": 1654287042.2842822, "env_id": "kelin-v0"}
r,l,t
-30.973947,100,2.498394
-15.053859,100,4.834433
-8.017744,100,7.140278
-18.748649,100,9.371617
9992.530145,100,11.522805
-21.794215,100,13.595982
-9.480608,100,15.773483
-10.082549,100,17.892656
-11.948291,100,20.432817
-20.710517,100,22.893209
-22.119134,100,25.559488
-17.979461,100,28.923498
-20.232121,100,31.721432
-18.861133,100,34.461698
-18.46782,100,37.137654
-21.393592,100,39.982531
-20.710128,100,42.557114
-21.386064,100,45.235396
-19.178709,100,48.145235
9992.971702,100,50.759009
-14.77767,100,53.372317
-11.322648,100,55.877051
9993.014544,100,58.597248
-31.192954,100,62.365138
-22.257114,100,65.117324
-10.019693,100,67.779035
-15.099239,100,70.55815
-19.53957,100,73.620354
-12.428374,100,76.661287
-7.666171,100,79.358676
-19.38478,100,82.154072
-9.467748,100,84.903737
-12.563302,100,87.62525
-12.153288,100,90.362993
9992.690934,100,93.205164
-11.957746,100,96.250174
-16.654072,100,99.215185
-14.537632,100,102.004343
-23.525273,100,104.960231
9992.681422,100,107.42322
9992.707879,100,110.254775
-24.139987,100,113.698621
-10.656615,100,117.111282
-24.014513,100,119.934339
-11.855359,100,122.962418
-9.463856,100,125.734905
