#{"t_start": 1654292888.0442126, "env_id": "kelin-v0"}
r,l,t
-25.928643,100,2.783999
-15.227112,100,2.967962
-31.11554,100,3.131682
-31.786328,100,3.287042
-19.345057,100,3.466166
-13.946807,100,3.63122
-10.262112,100,3.788385
-27.95341,100,3.945668
-24.002199,100,4.105443
986.198291,100,4.312268
-16.58914,100,7.754506
-5.579469,100,10.923137
-13.206288,100,14.356271
-31.515587,100,17.718589
-12.43645,100,21.18703
-17.934456,100,24.52308
-16.955288,100,28.308393
-10.072267,100,32.17729
-13.365205,100,35.4811
-25.824574,100,38.833318
-17.272669,100,42.150813
-31.250876,100,45.465369
-19.829602,100,49.104002
-14.326353,100,52.614871
-22.690659,100,56.077893
-14.843539,100,59.501154
990.548607,100,63.245835
-14.729699,100,66.542804
632.030249,100,70.537091
-16.545698,100,74.263744
-8.013729,100,77.604169
-7.01211,100,80.955085
-18.343629,100,84.518019
-12.477258,100,87.797786
-19.163176,100,90.960582
-327.875986,100,94.121905
-21.280795,100,97.314929
-17.201176,100,100.418131
-89.126347,100,103.513372
993.895619,100,106.782193
-7.912287,100,110.599355
734.461335,100,114.050889
-12.990252,100,117.287653
-7.836219,100,120.51122
-15.792684,100,123.737859
-21.334484,100,126.745993
-17.180171,100,129.766969
-55.598658,100,132.801574
-413.683263,100,136.332006
-19.582286,100,139.345203
-32.64701,100,143.451588
-16.56144,100,147.175
-15.465289,100,150.396067
914.112654,100,153.928894
-15.105021,100,157.151709
-18.501263,100,160.556216
-21.239275,100,163.912579
-13.270543,100,167.374889
-27.615241,100,171.212582
-22.215948,100,174.995956
-17.548975,100,178.559746
-25.986329,100,182.013892
-28.063563,100,186.452535
-22.072536,100,190.830259
-18.169331,100,194.479744
-27.728366,100,197.814031
-28.28823,100,201.044701
-29.303315,100,204.22716
-34.050686,100,207.427836
-22.76984,100,210.622535
-20.448217,100,213.823456
-14.542339,100,217.009819
-14.771226,100,220.653654
-17.836765,100,224.722342
-16.001631,100,228.420875
-30.033194,100,232.057488
-16.99055,100,235.693656
-31.047773,100,239.291768
-133.742448,100,243.113606
-19.523223,100,246.716456
-27.563205,100,250.344888
-17.128782,100,253.992653
-14.851778,100,257.623339
-20.449128,100,261.21728
-28.6931,100,264.832675
118.209852,100,268.431931
-19.960791,100,272.029101
-17.647293,100,275.621374
984.827104,100,279.414514
-31.141334,100,283.01044
-13.611604,100,286.604519
-33.388318,100,290.263328
-22.619397,100,293.907996
-12.953766,100,297.495565
-11.689708,100,301.116464
-20.733621,100,304.712151
-24.732303,100,308.300085
-13.882032,100,311.86718
-24.700146,100,315.714222
54.999143,100,319.607509
-14.098677,100,323.739083
-119.286287,100,327.663215
410.15991,100,331.82803
-23.444993,100,335.395307
-13.269278,100,338.965519
-30.701027,100,342.482384
-18.015671,100,346.045966
-17.06575,100,349.629449
-22.761426,100,353.236893
821.334711,100,356.939816
-22.565573,100,360.49933
-17.36806,100,364.052083
-7.382918,100,367.62205
-18.943774,100,371.224207
-12.93563,100,375.641524
-19.787866,100,380.786121
699.824211,100,385.944273
-15.60301,100,390.048967
-9.759208,100,393.974972
-12.490222,100,398.00103
-26.512876,100,401.871372
-23.585486,100,406.059014
-22.653493,100,409.815094
-15.428326,100,413.388425
-30.512665,100,417.019939
-19.800484,100,420.530724
-18.295726,100,424.138913
-11.156282,100,427.688844
-15.649303,100,431.456778
-21.047346,100,435.339501
-10.331377,100,439.057711
-11.610779,100,442.45678
-16.413127,100,445.736968
-18.734355,100,449.081969
-26.742824,100,452.305839
-14.003112,100,455.458999
-12.815744,100,458.642957
-19.619195,100,461.966096
-9.337074,100,465.142778
-21.868836,100,468.310968
688.52485,100,471.582804
-26.131271,100,474.833094
824.710159,100,478.242786
-114.909487,100,481.559846
-21.375486,100,484.84271
-30.817829,100,488.211775
-67.880678,100,491.39581
-27.565758,100,494.562571
-20.897727,100,497.773421
-13.216247,100,501.113751
-21.844603,100,504.386954
-10.602916,100,507.713657
